location,date,sample,density,quantity
Aare_Bern_CaveltiN,2017-04-02,1.0,1.679,47.0
Aare_Bern_CaveltiN,2017-05-06,2.0,1.536,43.0
Aare_bern_gerberm,2017-04-14,1.0,1.73,154.0
Aare_bern_gerberm,2017-05-21,2.0,0.225,20.0
Aare_bern_gerberm,2017-06-26,3.0,0.798,71.0
Aare_bern_gerberm,2017-07-31,4.0,1.258,112.0
Aare_bern_gerberm,2017-08-29,5.0,1.966,175.0
Aare_bern_gerberm,2017-09-26,6.0,2.326,207.0
Aare_bern_gerberm,2017-10-31,7.0,1.213,108.0
Aare_bern_gerberm,2017-11-17,8.0,0.742,66.0
Aare_bern_gerberm,2017-12-26,9.0,1.079,96.0
Aare_bern_gerberm,2018-01-27,10.0,2.101,187.0
aare_bern_scheurerk,2017-04-02,1.0,0.022,2.0
aare_bern_scheurerk,2017-05-21,2.0,0.0,0.0
aare_bern_scheurerk,2017-07-09,3.0,0.87,80.0
aare_bern_scheurerk,2017-08-31,4.0,0.0,0.0
aare_bern_scheurerk,2017-09-15,5.0,0.283,26.0
aare_bern_scheurerk,2017-10-21,6.0,0.141,13.0
aare_bern_scheurerk,2017-11-16,7.0,0.38,35.0
aare_bern_scheurerk,2018-01-23,8.0,0.0,0.0
Aare_Brugg_BuchiE,2017-04-12,1.0,2.45,49.0
Aare_Brugg_BuchiE,2017-05-08,2.0,2.2,44.0
Aare_Brugg_BuchiE,2017-06-13,3.0,1.2,24.0
Aare_Brugg_BuchiE,2017-07-20,4.0,2.5,50.0
Aare_Brugg_BuchiE,2017-08-26,5.0,3.45,69.0
Aare_Brugg_BuchiE,2017-09-25,6.0,1.1,22.0
Aare_Brugg_BuchiE,2017-11-04,7.0,0.2,4.0
Aare_Brugg_BuchiE,2017-11-27,8.0,0.15,3.0
Aare_Brugg_BuchiE,2017-12-28,9.0,0.4,8.0
Aare_Brugg_BuchiE,2018-02-04,10.0,0.25,5.0
Aare_Elfenau_cataldiv,2017-04-29,1.0,0.211,4.0
Aare_Elfenau_cataldiv,2017-05-20,2.0,0.158,3.0
Aare_Elfenau_cataldiv,2017-06-29,3.0,3.842,73.0
Aare_Elfenau_cataldiv,2017-07-23,4.0,0.368,7.0
Aare_Elfenau_cataldiv,2017-09-09,5.0,5.421,103.0
Aare_Elfenau_cataldiv,2018-01-06,6.0,0.105,2.0
aare_kehrsatz_stolten,2017-04-07,1.0,0.174,8.0
aare_kehrsatz_stolten,2017-05-03,2.0,0.196,9.0
aare_kehrsatz_stolten,2017-06-14,3.0,0.196,9.0
aare_kehrsatz_stolten,2017-07-03,4.0,0.109,5.0
aare_kehrsatz_stolten,2017-08-25,5.0,0.109,5.0
aare_kehrsatz_stolten,2017-09-21,6.0,0.196,9.0
aare_kehrsatz_stolten,2017-10-16,7.0,0.043,2.0
aare_kehrsatz_stolten,2017-11-08,8.0,0.152,7.0
aare_kehrsatz_stolten,2017-12-13,9.0,0.0,0.0
aare_kehrsatz_stolten,2018-01-17,10.0,0.065,3.0
aare_kehrsatz_stolten,2018-02-28,11.0,0.022,1.0
aare_köniz_hoppej,2017-04-23,1.0,1.682,37.0
aare_köniz_hoppej,2017-05-31,2.0,0.0,0.0
aare_köniz_hoppej,2017-06-28,3.0,7.909,174.0
aare_köniz_hoppej,2017-07-24,4.0,4.818,106.0
aare_köniz_hoppej,2017-08-28,5.0,4.864,107.0
aare_köniz_hoppej,2017-09-25,6.0,6.045,133.0
