"Anarchy Beach",46.44721600,6.85961200,"La Tour-de-Peilz","1814","l"
"Arabie",46.46209900,6.83497200,"Vevey","1800","lake"
"Bain des Dames",46.45050680,6.85809180,"La Tour-de-Peilz","1814","lake"
"Baye de Clarens",46.43978700,6.88890300,"Montreux","1815","lake"
"Baye de Montreux - D",46.43096200,6.90867300,"Montreux","1820","lake"
"Baye de Montreux - G",46.43083400,6.90877800,"Montreux","1820","lake"
"Boiron",46.49102970,6.48016180,"Tolochenaz","1131","lake"
"Grand Clos",46.38774600,6.84368600,"Saint-Gingolph","1898","lake"
"Jardin Botanique",46.22590880,6.14935720,"Genève","1202","lake"
"La Morges",46.50406300,6.49409900,"Morges","1110","lake"
"Le Pierrier",46.43972700,6.88896800,"Montreux","1815","lake"
"Le Port",46.45224500,6.85518000,"La Tour-de-Peilz","1814","lake"
"Maladaire",46.44629600,6.87696000,"La Tour-de-Peilz","1814","lake"
"Oyonne",46.45668200,6.85226200,"La Tour-de-Peilz","1814","lake"
"Parc des Pierrettes",46.51521500,6.57553100,"Saint-Sulpice","1025","lake"
"Pierrier sud",46.43956010,6.89100010,"Montreux","1815","lake"
"Plage de Dorigny",46.51816900,6.58331900,"Saint-Sulpice","1025","lake"
"Plage de St Sulpice",46.51326500,6.57097700,"Saint-Sulpice","1025","lake"
"Quai Maria-Belgia",46.46015600,6.83671800,"Vevey","1800","lake"
"Thonnon-les-Bains",46.36533580,6.44699340,"Thonon-les-Bains","74200","lake"
"Versoix",46.28919400,6.17056930,"Versoix","1290","lake"
"Veveyse",46.46102200,6.83498300,"Vevey","1800","lake"
"Vidy",46.51471550,6.59858840,"Lausanne","1007","lake"
"Villa Barton",46.22235000,6.15250000,"Genève","1202","lake"
