code_id,date,density,id,length,location_id,quantity
0,G21,2017-04-02,0.071,1,28.00,Aare_Bern_CaveltiN,2.00
1,G27,2017-04-02,0.429,2,28.00,Aare_Bern_CaveltiN,12.00
2,G30,2017-04-02,0.036,3,28.00,Aare_Bern_CaveltiN,1.00
3,G33,2017-04-02,0.036,4,28.00,Aare_Bern_CaveltiN,1.00
4,G66,2017-04-02,0.036,5,28.00,Aare_Bern_CaveltiN,1.00
5,G79,2017-04-02,0.036,6,28.00,Aare_Bern_CaveltiN,1.00
6,G124,2017-04-02,0.107,7,28.00,Aare_Bern_CaveltiN,3.00
7,G126,2017-04-02,0.036,8,28.00,Aare_Bern_CaveltiN,1.00
8,G134,2017-04-02,0.036,9,28.00,Aare_Bern_CaveltiN,1.00
9,G145,2017-04-02,0.036,10,28.00,Aare_Bern_CaveltiN,1.00
10,G151,2017-04-02,0.036,11,28.00,Aare_Bern_CaveltiN,1.00
11,G156,2017-04-02,0.071,12,28.00,Aare_Bern_CaveltiN,2.00
12,G158,2017-04-02,0.214,13,28.00,Aare_Bern_CaveltiN,6.00
13,G177,2017-04-02,0.143,14,28.00,Aare_Bern_CaveltiN,4.00
14,G178,2017-04-02,0.179,15,28.00,Aare_Bern_CaveltiN,5.00
15,G208,2017-04-02,0.179,16,28.00,Aare_Bern_CaveltiN,5.00
16,G4,2017-05-06,0.036,17,28.00,Aare_Bern_CaveltiN,1.00
17,G26,2017-05-06,0.036,18,28.00,Aare_Bern_CaveltiN,1.00
18,G27,2017-05-06,0.643,19,28.00,Aare_Bern_CaveltiN,18.00
19,G30,2017-05-06,0.071,20,28.00,Aare_Bern_CaveltiN,2.00
20,G66,2017-05-06,0.036,21,28.00,Aare_Bern_CaveltiN,1.00
21,G79,2017-05-06,0.214,22,28.00,Aare_Bern_CaveltiN,6.00
22,G145,2017-05-06,0.036,23,28.00,Aare_Bern_CaveltiN,1.00
23,G158,2017-05-06,0.071,24,28.00,Aare_Bern_CaveltiN,2.00
24,G178,2017-05-06,0.071,25,28.00,Aare_Bern_CaveltiN,2.00
25,G191,2017-05-06,0.036,26,28.00,Aare_Bern_CaveltiN,1.00
26,G198,2017-05-06,0.036,27,28.00,Aare_Bern_CaveltiN,1.00
27,G208,2017-05-06,0.250,28,28.00,Aare_Bern_CaveltiN,7.00
28,G3,2017-04-14,0.034,29,89.00,Aare_bern_gerberm,3.00
29,G4,2017-04-14,0.056,30,89.00,Aare_bern_gerberm,5.00
30,G24,2017-04-14,0.011,31,89.00,Aare_bern_gerberm,1.00
31,G27,2017-04-14,0.124,32,89.00,Aare_bern_gerberm,11.00
32,G30,2017-04-14,0.079,33,89.00,Aare_bern_gerberm,7.00
33,G31,2017-04-14,0.011,34,89.00,Aare_bern_gerberm,1.00
34,G33,2017-04-14,0.022,35,89.00,Aare_bern_gerberm,2.00
35,G67,2017-04-14,0.045,36,89.00,Aare_bern_gerberm,4.00
36,G79,2017-04-14,0.360,37,89.00,Aare_bern_gerberm,32.00
37,G89,2017-04-14,0.011,38,89.00,Aare_bern_gerberm,1.00
38,G96,2017-04-14,0.169,39,89.00,Aare_bern_gerberm,15.00
39,G101,2017-04-14,0.034,40,89.00,Aare_bern_gerberm,3.00
40,G124,2017-04-14,0.022,41,89.00,Aare_bern_gerberm,2.00
41,G131,2017-04-14,0.011,42,89.00,Aare_bern_gerberm,1.00
42,G137,2017-04-14,0.022,43,89.00,Aare_bern_gerberm,2.00
43,G142,2017-04-14,0.011,44,89.00,Aare_bern_gerberm,1.00
44,G145,2017-04-14,0.494,45,89.00,Aare_bern_gerberm,44.00
45,G151,2017-04-14,0.011,46,89.00,Aare_bern_gerberm,1.00
46,G156,2017-04-14,0.034,47,89.00,Aare_bern_gerberm,3.00
47,G158,2017-04-14,0.011,48,89.00,Aare_bern_gerberm,1.00
48,G165,2017-04-14,0.011,49,89.00,Aare_bern_gerberm,1.00
49,G177,2017-04-14,0.011,50,89.00,Aare_bern_gerberm,1.00
50,G178,2017-04-14,0.056,51,89.00,Aare_bern_gerberm,5.00
51,G179,2017-04-14,0.022,52,89.00,Aare_bern_gerberm,2.00
52,G198,2017-04-14,0.011,53,89.00,Aare_bern_gerberm,1.00
53,G199,2017-04-14,0.011,54,89.00,Aare_bern_gerberm,1.00
54,G208,2017-04-14,0.034,55,89.00,Aare_bern_gerberm,3.00
55,G4,2017-05-21,0.034,56,89.00,Aare_bern_gerberm,3.00
56,G30,2017-05-21,0.022,57,89.00,Aare_bern_gerberm,2.00
57,G33,2017-05-21,0.011,58,89.00,Aare_bern_gerberm,1.00
58,G67,2017-05-21,0.045,59,89.00,Aare_bern_gerberm,4.00
59,G96,2017-05-21,0.022,60,89.00,Aare_bern_gerberm,2.00
60,G145,2017-05-21,0.045,61,89.00,Aare_bern_gerberm,4.00
61,G154,2017-05-21,0.011,62,89.00,Aare_bern_gerberm,1.00
62,G171,2017-05-21,0.011,63,89.00,Aare_bern_gerberm,1.00
63,G175,2017-05-21,0.022,64,89.00,Aare_bern_gerberm,2.00
64,G3,2017-06-26,0.022,65,89.00,Aare_bern_gerberm,2.00
65,G4,2017-06-26,0.045,66,89.00,Aare_bern_gerberm,4.00
66,G27,2017-06-26,0.011,67,89.00,Aare_bern_gerberm,1.00
67,G30,2017-06-26,0.067,68,89.00,Aare_bern_gerberm,6.00
68,G50,2017-06-26,0.011,69,89.00,Aare_bern_gerberm,1.00
69,G67,2017-06-26,0.056,70,89.00,Aare_bern_gerberm,5.00
70,G79,2017-06-26,0.124,71,89.00,Aare_bern_gerberm,11.00
71,G80,2017-06-26,0.011,72,89.00,Aare_bern_gerberm,1.00
72,G96,2017-06-26,0.034,73,89.00,Aare_bern_gerberm,3.00
73,G133,2017-06-26,0.011,74,89.00,Aare_bern_gerberm,1.00
74,G137,2017-06-26,0.056,75,89.00,Aare_bern_gerberm,5.00
75,G142,2017-06-26,0.022,76,89.00,Aare_bern_gerberm,2.00
76,G144,2017-06-26,0.022,77,89.00,Aare_bern_gerberm,2.00
77,G145,2017-06-26,0.281,78,89.00,Aare_bern_gerberm,25.00
78,G172,2017-06-26,0.011,79,89.00,Aare_bern_gerberm,1.00
79,G175,2017-06-26,0.011,80,89.00,Aare_bern_gerberm,1.00
80,G3,2017-07-31,0.011,81,89.00,Aare_bern_gerberm,1.00
81,G4,2017-07-31,0.011,82,89.00,Aare_bern_gerberm,1.00
82,G10,2017-07-31,0.011,83,89.00,Aare_bern_gerberm,1.00
83,G27,2017-07-31,0.034,84,89.00,Aare_bern_gerberm,3.00
84,G30,2017-07-31,0.034,85,89.00,Aare_bern_gerberm,3.00
85,G35,2017-07-31,0.011,86,89.00,Aare_bern_gerberm,1.00
86,G50,2017-07-31,0.011,87,89.00,Aare_bern_gerberm,1.00
87,G67,2017-07-31,0.056,88,89.00,Aare_bern_gerberm,5.00
88,G71,2017-07-31,0.011,89,89.00,Aare_bern_gerberm,1.00
89,G79,2017-07-31,0.101,90,89.00,Aare_bern_gerberm,9.00
90,G80,2017-07-31,0.022,91,89.00,Aare_bern_gerberm,2.00
91,G89,2017-07-31,0.022,92,89.00,Aare_bern_gerberm,2.00
92,G93,2017-07-31,0.011,93,89.00,Aare_bern_gerberm,1.00
93,G96,2017-07-31,0.090,94,89.00,Aare_bern_gerberm,8.00
94,G100,2017-07-31,0.011,95,89.00,Aare_bern_gerberm,1.00
95,G124,2017-07-31,0.067,96,89.00,Aare_bern_gerberm,6.00
96,G128,2017-07-31,0.045,97,89.00,Aare_bern_gerberm,4.00
97,G137,2017-07-31,0.022,98,89.00,Aare_bern_gerberm,2.00
98,G144,2017-07-31,0.067,99,89.00,Aare_bern_gerberm,6.00
99,G145,2017-07-31,0.258,100,89.00,Aare_bern_gerberm,23.00
100,G156,2017-07-31,0.011,101,89.00,Aare_bern_gerberm,1.00
101,G171,2017-07-31,0.022,102,89.00,Aare_bern_gerberm,2.00
102,G175,2017-07-31,0.146,103,89.00,Aare_bern_gerberm,13.00
103,G177,2017-07-31,0.034,104,89.00,Aare_bern_gerberm,3.00
104,G178,2017-07-31,0.011,105,89.00,Aare_bern_gerberm,1.00
105,G179,2017-07-31,0.011,106,89.00,Aare_bern_gerberm,1.00
106,G198,2017-07-31,0.056,107,89.00,Aare_bern_gerberm,5.00
107,G203,2017-07-31,0.011,108,89.00,Aare_bern_gerberm,1.00
108,G204,2017-07-31,0.022,109,89.00,Aare_bern_gerberm,2.00
109,G208,2017-07-31,0.022,110,89.00,Aare_bern_gerberm,2.00
110,G3,2017-08-29,0.034,111,89.00,Aare_bern_gerberm,3.00
111,G4,2017-08-29,0.034,112,89.00,Aare_bern_gerberm,3.00
112,G10,2017-08-29,0.011,113,89.00,Aare_bern_gerberm,1.00
113,G27,2017-08-29,0.022,114,89.00,Aare_bern_gerberm,2.00
114,G30,2017-08-29,0.045,115,89.00,Aare_bern_gerberm,4.00
115,G32,2017-08-29,0.011,116,89.00,Aare_bern_gerberm,1.00
116,G33,2017-08-29,0.022,117,89.00,Aare_bern_gerberm,2.00
117,G35,2017-08-29,0.022,118,89.00,Aare_bern_gerberm,2.00
118,G49,2017-08-29,0.034,119,89.00,Aare_bern_gerberm,3.00
119,G50,2017-08-29,0.022,120,89.00,Aare_bern_gerberm,2.00
120,G67,2017-08-29,0.090,121,89.00,Aare_bern_gerberm,8.00
121,G79,2017-08-29,0.056,122,89.00,Aare_bern_gerberm,5.00
122,G89,2017-08-29,0.022,123,89.00,Aare_bern_gerberm,2.00
123,G93,2017-08-29,0.011,124,89.00,Aare_bern_gerberm,1.00
124,G96,2017-08-29,0.258,125,89.00,Aare_bern_gerberm,23.00
125,G101,2017-08-29,0.034,126,89.00,Aare_bern_gerberm,3.00
126,G124,2017-08-29,0.090,127,89.00,Aare_bern_gerberm,8.00
127,G125,2017-08-29,0.011,128,89.00,Aare_bern_gerberm,1.00
128,G134,2017-08-29,0.034,129,89.00,Aare_bern_gerberm,3.00
129,G137,2017-08-29,0.022,130,89.00,Aare_bern_gerberm,2.00
130,G138,2017-08-29,0.022,131,89.00,Aare_bern_gerberm,2.00
131,G142,2017-08-29,0.011,132,89.00,Aare_bern_gerberm,1.00
132,G144,2017-08-29,0.045,133,89.00,Aare_bern_gerberm,4.00
133,G145,2017-08-29,0.506,134,89.00,Aare_bern_gerberm,45.00
134,G158,2017-08-29,0.067,135,89.00,Aare_bern_gerberm,6.00
135,G171,2017-08-29,0.011,136,89.00,Aare_bern_gerberm,1.00
136,G175,2017-08-29,0.112,137,89.00,Aare_bern_gerberm,10.00
137,G176,2017-08-29,0.011,138,89.00,Aare_bern_gerberm,1.00
138,G177,2017-08-29,0.022,139,89.00,Aare_bern_gerberm,2.00
139,G178,2017-08-29,0.011,140,89.00,Aare_bern_gerberm,1.00
