,Date,Location,medium,Samples,Sampling_Notes,Water_temp,Plating_notes,Temp_incubation,P1_qty_sample,P1_fluo_halo_colonies,Plate_one_48h_image,P1_48h_big_blue,P1_48h_med_blue,P1_48h_green,P1_48h_turq,P1_48h_pink,P1_48h_other,Comments_p1_48h,P2_qty_sample,P2_fluo_halo_colonies,Plate_two_48h_image,P2_48h_big_blue,P2_48h_med_blue,P2_48h_green,P2_48h_turq,P2_48h_pink,P2_48h_other,Comments_p2_48h,P3_qty_sample,P3_fluo_halo_colonies,Plate_three_48h_image,P3_48h_big_blue,P3_48h_med_blue,P3_48h_green,P3_48h_turq,P3_48h_pink,P3_48h_other,Comments_p3_48h
0,2017-06-12,Echandens,easy_gel,1,No comments,18,No comments,37,0.5,6,venoges48h0.5ml12june17-17_4_58.JPG,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments
1,2017-06-12,SVT,easy_gel,3,No comments,19,Medium tanken out of refrigerator just before plating.  Did not gel fully in all cases.,37,4.0,0,Sauvetage1_48h-15_37_27.JPG,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4,0.0,Sauvetage2_48h-15_38_30.JPG,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,sauvetage3_12june17_48h-15_39_44.JPG,0.0,0.0,0.0,0.0,0.0,0.0,No comments
2,2017-06-12,VNX,easy_gel,3,No comments,19,No comments,37,4.0,0,vernex1_48h-15_52_13.JPG,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4,0.0,Vernex2_48h-15_53_1.JPG,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,vernex3_48h-15_53_39.JPG,0.0,0.0,0.0,0.0,0.0,0.0,No comments
3,2017-06-12,MRD,easy_gel,3,No comments,20,No comments,37,4.0,0,MRD1_48h-16_17_52.JPG,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4,0.0,MRD2_48h-16_19_3.JPG,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,MRD3_48h-16_22_24.JPG,0.0,0.0,0.0,0.0,0.0,0.0,No comments
4,2017-06-12,Nernier,easy_gel,1,No comments,23,No comments,37,4.0,0,nernier48h4ml12june17-16_52_19.JPG,1.0,75.0,0.0,0.0,3.0,0.0,Counted by Roger on 21 June 2017,4,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments
5,2017-06-12,Hackuarium tap,easy_gel,1,No comments,18,No comments,37,4.0,0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments
6,2017-06-19,Hackuarium tap,easy_gel,1,No comments,18,No comments,37,4.0,0,image-16_23_47.jpg,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments
7,2017-06-19,VNX,easy_gel,3,No comments,19,No comments,37,4.0,0,image-16_14_23.jpg,0.0,6.0,0.0,0.0,9.0,0.0,"there are colonies RA would have called big blue, but there were no fluor halos... hmmmm",4,0.0,image-16_15_28.jpg,0.0,5.0,0.0,2.0,5.0,17.0,No comments,4.0,0.0,image-16_16_30.jpg,0.0,4.0,0.0,1.0,6.0,3.0,No comments
8,2017-06-19,MRD,easy_gel,3,No comments,20,"All plates gelled well, except tap water",37,4.0,1,image-15_37_49.jpg,1.0,6.0,0.0,0.0,5.0,0.0,No comments,4,0.0,image-15_36_18.jpg,0.0,12.0,0.0,0.0,7.0,17.0,No comments,4.0,0.0,image-15_37_12.jpg,0.0,4.0,0.0,1.0,7.0,50.0,No comments
9,2017-06-19,Echandens,easy_gel,1,No comments,18,No comments,37,0.5,15,image-14_55_9.jpg,15.0,18.0,0.0,1.0,17.0,0.0,No comments,4,0.0,image-16_20_45.jpg,0.0,0.0,0.0,0.0,0.0,0.0,plate 2 48h here is NA media (with gram+ growth),4.0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,No comments
10,2017-06-19,SVT,easy_gel,3,No comments,23,No comments,37,4.0,0,image-15_57_9.jpg,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4,0.0,image-15_58_32.jpg,0.0,0.0,0.0,0.0,0.0,0.0,No comments,4.0,0.0,image-15_59_20.jpg,0.0,0.0,0.0,0.0,0.0,0.0,No comments
11,2017-06-26,VNX,easy_gel,3,No comments,23,No comments,37,4.0,3,vnx26june48h-18_5_27.JPG,2.0,9.0,0.0,0.0,3.0,0.0,No comments,4,1.0,vnx2-18_5_36.JPG,1.0,2.0,0.0,0.0,1.0,0.0,No comments,4.0,1.0,vnx3-18_5_42.JPG,3.0,10.0,0.0,0.0,6.0,0.0,No comments
