location,date,length,quantity,density,code
Aare_Bern_CaveltiN,2017-04-02,28,2,0.0714,G21
Aare_Bern_CaveltiN,2017-04-02,28,12,0.4286,G27
Aare_Bern_CaveltiN,2017-04-02,28,1,0.0357,G30
Aare_Bern_CaveltiN,2017-04-02,28,1,0.0357,G33
Aare_Bern_CaveltiN,2017-04-02,28,1,0.0357,G66
Aare_Bern_CaveltiN,2017-04-02,28,1,0.0357,G79
Aare_Bern_CaveltiN,2017-04-02,28,3,0.1071,G124
Aare_Bern_CaveltiN,2017-04-02,28,1,0.0357,G126
Aare_Bern_CaveltiN,2017-04-02,28,1,0.0357,G134
Aare_Bern_CaveltiN,2017-04-02,28,1,0.0357,G145
Aare_Bern_CaveltiN,2017-04-02,28,1,0.0357,G151
Aare_Bern_CaveltiN,2017-04-02,28,2,0.0714,G156
Aare_Bern_CaveltiN,2017-04-02,28,6,0.2143,G158
Aare_Bern_CaveltiN,2017-04-02,28,4,0.1429,G177
Aare_Bern_CaveltiN,2017-04-02,28,5,0.1786,G178
Aare_Bern_CaveltiN,2017-04-02,28,5,0.1786,G208
Aare_Bern_CaveltiN,2017-05-06,28,1,0.0357,G4
Aare_Bern_CaveltiN,2017-05-06,28,1,0.0357,G26
Aare_Bern_CaveltiN,2017-05-06,28,18,0.6429,G27
Aare_Bern_CaveltiN,2017-05-06,28,2,0.0714,G30
Aare_Bern_CaveltiN,2017-05-06,28,1,0.0357,G66
Aare_Bern_CaveltiN,2017-05-06,28,6,0.2143,G79
Aare_Bern_CaveltiN,2017-05-06,28,1,0.0357,G145
Aare_Bern_CaveltiN,2017-05-06,28,2,0.0714,G158
Aare_Bern_CaveltiN,2017-05-06,28,2,0.0714,G178
Aare_Bern_CaveltiN,2017-05-06,28,1,0.0357,G191
Aare_Bern_CaveltiN,2017-05-06,28,1,0.0357,G198
Aare_Bern_CaveltiN,2017-05-06,28,7,0.25,G208
Aare_bern_gerberm,2017-04-14,89,3,0.0337,G3
Aare_bern_gerberm,2017-04-14,89,5,0.0562,G4
Aare_bern_gerberm,2017-04-14,89,1,0.0112,G24
Aare_bern_gerberm,2017-04-14,89,11,0.1236,G27
Aare_bern_gerberm,2017-04-14,89,7,0.0787,G30
Aare_bern_gerberm,2017-04-14,89,1,0.0112,G31
Aare_bern_gerberm,2017-04-14,89,2,0.0225,G33
Aare_bern_gerberm,2017-04-14,89,4,0.0449,G67
Aare_bern_gerberm,2017-04-14,89,32,0.3596,G79
Aare_bern_gerberm,2017-04-14,89,1,0.0112,G89
Aare_bern_gerberm,2017-04-14,89,15,0.1685,G96
Aare_bern_gerberm,2017-04-14,89,3,0.0337,G101
Aare_bern_gerberm,2017-04-14,89,2,0.0225,G124
Aare_bern_gerberm,2017-04-14,89,1,0.0112,G131
Aare_bern_gerberm,2017-04-14,89,2,0.0225,G137
Aare_bern_gerberm,2017-04-14,89,1,0.0112,G142
Aare_bern_gerberm,2017-04-14,89,44,0.4944,G145
Aare_bern_gerberm,2017-04-14,89,1,0.0112,G151
Aare_bern_gerberm,2017-04-14,89,3,0.0337,G156
Aare_bern_gerberm,2017-04-14,89,1,0.0112,G158
Aare_bern_gerberm,2017-04-14,89,1,0.0112,G165
Aare_bern_gerberm,2017-04-14,89,1,0.0112,G177
Aare_bern_gerberm,2017-04-14,89,5,0.0562,G178
Aare_bern_gerberm,2017-04-14,89,2,0.0225,G179
Aare_bern_gerberm,2017-04-14,89,1,0.0112,G198
Aare_bern_gerberm,2017-04-14,89,1,0.0112,G199
Aare_bern_gerberm,2017-04-14,89,3,0.0337,G208
Aare_bern_gerberm,2017-05-21,89,3,0.0337,G4
Aare_bern_gerberm,2017-05-21,89,2,0.0225,G30
Aare_bern_gerberm,2017-05-21,89,1,0.0112,G33
Aare_bern_gerberm,2017-05-21,89,4,0.0449,G67
