location,date,sample,density,quantity
Aare_Bern_CaveltiN,2017-04-02,1,1.6786,47
Aare_Bern_CaveltiN,2017-05-06,2,1.5357,43
Aare_bern_gerberm,2017-04-14,1,1.7303,154
Aare_bern_gerberm,2017-05-21,2,0.2247,20
Aare_bern_gerberm,2017-06-26,3,0.7978,71
Aare_bern_gerberm,2017-07-31,4,1.2584,112
Aare_bern_gerberm,2017-08-29,5,1.9663,175
Aare_bern_gerberm,2017-09-26,6,2.3258,207
Aare_bern_gerberm,2017-10-31,7,1.2135,108
Aare_bern_gerberm,2017-11-17,8,0.7416,66
Aare_bern_gerberm,2017-12-26,9,1.0787,96
Aare_bern_gerberm,2018-01-27,10,2.1011,187
Aare_bern_gerberm,2018-03-31,11,1.427,127
aare_bern_scheurerk,2017-04-02,1,0.0217,2
aare_bern_scheurerk,2017-07-09,2,0.8696,80
aare_bern_scheurerk,2017-09-15,3,0.2826,26
aare_bern_scheurerk,2017-10-21,4,0.1413,13
aare_bern_scheurerk,2017-11-16,5,0.3804,35
aare_bern_scheurerk,2018-03-15,6,0.3804,35
Aare_Brugg_BuchiE,2017-04-12,1,2.45,49
Aare_Brugg_BuchiE,2017-05-08,2,2.2,44
Aare_Brugg_BuchiE,2017-06-13,3,1.2,24
Aare_Brugg_BuchiE,2017-07-20,4,2.5,50
Aare_Brugg_BuchiE,2017-08-26,5,3.45,69
Aare_Brugg_BuchiE,2017-09-25,6,1.1,22
Aare_Brugg_BuchiE,2017-10-31,7,0.2,4
Aare_Brugg_BuchiE,2017-11-27,8,0.15,3
Aare_Brugg_BuchiE,2017-12-28,9,0.4,8
Aare_Brugg_BuchiE,2018-02-04,10,0.25,5
Aare_Brugg_BuchiE,2018-03-31,11,0.85,17
Aare_Elfenau_cataldiv,2017-04-29,1,0.2105,4
Aare_Elfenau_cataldiv,2017-05-20,2,0.1579,3
Aare_Elfenau_cataldiv,2017-06-29,3,3.8421,73
Aare_Elfenau_cataldiv,2017-07-23,4,0.3684,7
Aare_Elfenau_cataldiv,2017-09-09,5,5.4211,103
Aare_Elfenau_cataldiv,2018-01-06,6,0.1053,2
aare_kehrsatz_stolten,2017-04-07,1,0.1739,8
aare_kehrsatz_stolten,2017-05-03,2,0.1957,9
aare_kehrsatz_stolten,2017-06-14,3,0.1957,9
aare_kehrsatz_stolten,2017-07-03,4,0.1087,5
aare_kehrsatz_stolten,2017-08-25,5,0.1087,5
aare_kehrsatz_stolten,2017-09-21,6,0.1957,9
aare_kehrsatz_stolten,2017-10-16,7,0.0435,2
aare_kehrsatz_stolten,2017-11-08,8,0.1522,7
aare_kehrsatz_stolten,2018-01-17,9,0.0652,3
aare_kehrsatz_stolten,2018-02-28,10,0.0217,1
aare_kehrsatz_stolten,2018-03-15,11,0.0435,2
aare_köniz_hoppej,2017-04-23,1,1.6818,37
aare_köniz_hoppej,2017-06-28,2,7.9091,174
aare_köniz_hoppej,2017-07-24,3,4.8182,106
aare_köniz_hoppej,2017-08-28,4,4.8636,107
aare_köniz_hoppej,2017-09-25,5,6.0455,133
aare_köniz_hoppej,2017-10-23,6,1.4545,32
aare_köniz_hoppej,2017-11-20,7,0.7273,16
aare_köniz_hoppej,2017-12-25,8,2.1364,47
aare_köniz_hoppej,2018-01-24,9,1.7273,38
aare_köniz_hoppej,2018-02-19,10,1.0909,24
aare_köniz_hoppej,2018-03-26,11,1.4091,31
aare_rupperswil_badert,2017-04-13,1,0.4783,22
aare_rupperswil_badert,2017-05-05,2,0.2826,13
aare_rupperswil_badert,2017-06-23,3,0.2826,13
aare_rupperswil_badert,2017-07-14,4,0.2826,13
aare_rupperswil_badert,2017-08-18,5,0.1522,7
aare_rupperswil_badert,2017-09-15,6,0.1087,5
aare_rupperswil_badert,2017-10-13,7,0.2174,10
aare_rupperswil_badert,2017-11-10,8,0.087,4
aare_rupperswil_badert,2017-12-24,9,0.0217,1
aare_rupperswil_badert,2018-01-20,10,0.0217,1
aare_rupperswil_badert,2018-02-10,11,0.0435,2
aare_solothurn_nguyena,2017-04-21,1,0.3514,13
aare_solothurn_nguyena,2017-05-10,2,0.7297,27
aare_solothurn_nguyena,2017-07-23,3,1.3243,49
aare_suhrespitz_badert,2017-04-13,1,2.5091,138
aare_suhrespitz_badert,2017-05-05,2,1.1091,61
aare_suhrespitz_badert,2017-06-23,3,2.2182,122
aare_suhrespitz_badert,2017-07-14,4,1.8,99
aare_suhrespitz_badert,2017-08-18,5,1.4727,81
aare_suhrespitz_badert,2017-09-15,6,1.1818,65
aare_suhrespitz_badert,2017-10-13,7,1.9091,105
aare_suhrespitz_badert,2017-11-10,8,0.9273,51
aare_suhrespitz_badert,2017-12-23,9,0.6364,35
aare_suhrespitz_badert,2018-01-20,10,0.4364,24
aare_suhrespitz_badert,2018-02-10,11,0.5091,28
aare_suhrespitz_badert,2018-03-24,12,3.1455,173
aarezufluss_bern_scheurerk,2017-04-02,1,0.5,9
aarezufluss_bern_scheurerk,2017-07-09,2,0.0556,1
aarezufluss_bern_scheurerk,2017-09-15,3,0.5,9
aarezufluss_bern_scheurerk,2017-11-19,4,0.8333,15
aarezufluss_bern_scheurerk,2018-02-13,5,0.2778,5
arve_carouge_battistellak,2017-04-17,1,2.875,161
