,date,density,location_id,project_id,quantity,sample
0,2017-04-02,1.6786,Aare_Bern_CaveltiN,SLR,47,1.0
1,2017-05-06,1.5357,Aare_Bern_CaveltiN,SLR,43,2.0
2,2017-04-14,1.7303,Aare_bern_gerberm,SLR,154,1.0
3,2017-05-21,0.2247,Aare_bern_gerberm,SLR,20,2.0
4,2017-06-26,0.7978,Aare_bern_gerberm,SLR,71,3.0
5,2017-07-31,1.2584,Aare_bern_gerberm,SLR,112,4.0
6,2017-08-29,1.9663,Aare_bern_gerberm,SLR,175,5.0
7,2017-09-26,2.3258,Aare_bern_gerberm,SLR,207,6.0
8,2017-10-31,1.2135,Aare_bern_gerberm,SLR,108,7.0
9,2017-11-17,0.7416,Aare_bern_gerberm,SLR,66,8.0
10,2017-12-26,1.0787,Aare_bern_gerberm,SLR,96,9.0
11,2018-01-27,2.1011,Aare_bern_gerberm,SLR,187,10.0
12,2018-03-31,1.427,Aare_bern_gerberm,SLR,127,11.0
13,2017-04-02,0.0217,aare_bern_scheurerk,SLR,2,1.0
14,2017-07-09,0.8696,aare_bern_scheurerk,SLR,80,2.0
15,2017-09-15,0.2826,aare_bern_scheurerk,SLR,26,3.0
16,2017-10-21,0.1413,aare_bern_scheurerk,SLR,13,4.0
17,2017-11-16,0.3804,aare_bern_scheurerk,SLR,35,5.0
18,2018-03-15,0.3804,aare_bern_scheurerk,SLR,35,6.0
19,2017-04-12,2.45,Aare_Brugg_BuchiE,SLR,49,1.0
20,2017-05-08,2.2,Aare_Brugg_BuchiE,SLR,44,2.0
21,2017-06-13,1.2,Aare_Brugg_BuchiE,SLR,24,3.0
22,2017-07-20,2.5,Aare_Brugg_BuchiE,SLR,50,4.0
23,2017-08-26,3.45,Aare_Brugg_BuchiE,SLR,69,5.0
24,2017-09-25,1.1,Aare_Brugg_BuchiE,SLR,22,6.0
25,2017-10-31,0.2,Aare_Brugg_BuchiE,SLR,4,7.0
26,2017-11-27,0.15,Aare_Brugg_BuchiE,SLR,3,8.0
27,2017-12-28,0.4,Aare_Brugg_BuchiE,SLR,8,9.0
28,2018-02-04,0.25,Aare_Brugg_BuchiE,SLR,5,10.0
29,2018-03-31,0.85,Aare_Brugg_BuchiE,SLR,17,11.0
30,2017-04-29,0.2105,Aare_Elfenau_cataldiv,SLR,4,1.0
31,2017-05-20,0.1579,Aare_Elfenau_cataldiv,SLR,3,2.0
32,2017-06-29,3.8421,Aare_Elfenau_cataldiv,SLR,73,3.0
33,2017-07-23,0.3684,Aare_Elfenau_cataldiv,SLR,7,4.0
34,2017-09-09,5.4211,Aare_Elfenau_cataldiv,SLR,103,5.0
35,2018-01-06,0.1053,Aare_Elfenau_cataldiv,SLR,2,6.0
36,2017-04-07,0.1739,aare_kehrsatz_stolten,SLR,8,1.0
37,2017-05-03,0.1957,aare_kehrsatz_stolten,SLR,9,2.0
38,2017-06-14,0.1957,aare_kehrsatz_stolten,SLR,9,3.0
39,2017-07-03,0.1087,aare_kehrsatz_stolten,SLR,5,4.0
40,2017-08-25,0.1087,aare_kehrsatz_stolten,SLR,5,5.0
41,2017-09-21,0.1957,aare_kehrsatz_stolten,SLR,9,6.0
42,2017-10-16,0.0435,aare_kehrsatz_stolten,SLR,2,7.0
43,2017-11-08,0.1522,aare_kehrsatz_stolten,SLR,7,8.0
44,2018-01-17,0.0652,aare_kehrsatz_stolten,SLR,3,9.0
45,2018-02-28,0.0217,aare_kehrsatz_stolten,SLR,1,10.0
46,2018-03-15,0.0435,aare_kehrsatz_stolten,SLR,2,11.0
47,2017-04-23,1.6818,aare_köniz_hoppej,SLR,37,1.0
48,2017-06-28,7.9091,aare_köniz_hoppej,SLR,174,2.0
49,2017-07-24,4.8182,aare_köniz_hoppej,SLR,106,3.0
50,2017-08-28,4.8636,aare_köniz_hoppej,SLR,107,4.0
51,2017-09-25,6.0455,aare_köniz_hoppej,SLR,133,5.0
52,2017-10-23,1.4545,aare_köniz_hoppej,SLR,32,6.0
53,2017-11-20,0.7273,aare_köniz_hoppej,SLR,16,7.0
54,2017-12-25,2.1364,aare_köniz_hoppej,SLR,47,8.0
55,2018-01-24,1.7273,aare_köniz_hoppej,SLR,38,9.0
56,2018-02-19,1.0909,aare_köniz_hoppej,SLR,24,10.0
57,2018-03-26,1.4091,aare_köniz_hoppej,SLR,31,11.0
58,2017-04-13,0.4783,aare_rupperswil_badert,SLR,22,1.0
59,2017-05-05,0.2826,aare_rupperswil_badert,SLR,13,2.0
60,2017-06-23,0.2826,aare_rupperswil_badert,SLR,13,3.0
61,2017-07-14,0.2826,aare_rupperswil_badert,SLR,13,4.0
62,2017-08-18,0.1522,aare_rupperswil_badert,SLR,7,5.0
63,2017-09-15,0.1087,aare_rupperswil_badert,SLR,5,6.0
64,2017-10-13,0.2174,aare_rupperswil_badert,SLR,10,7.0
65,2017-11-10,0.087,aare_rupperswil_badert,SLR,4,8.0
66,2017-12-24,0.0217,aare_rupperswil_badert,SLR,1,9.0
67,2018-01-20,0.0217,aare_rupperswil_badert,SLR,1,10.0
68,2018-02-10,0.0435,aare_rupperswil_badert,SLR,2,11.0
69,2017-04-21,0.3514,aare_solothurn_nguyena,SLR,13,1.0
70,2017-05-10,0.7297,aare_solothurn_nguyena,SLR,27,2.0
71,2017-07-23,1.3243,aare_solothurn_nguyena,SLR,49,3.0
72,2017-04-13,2.5091,aare_suhrespitz_badert,SLR,138,1.0
73,2017-05-05,1.1091,aare_suhrespitz_badert,SLR,61,2.0
74,2017-06-23,2.2182,aare_suhrespitz_badert,SLR,122,3.0
75,2017-07-14,1.8,aare_suhrespitz_badert,SLR,99,4.0
76,2017-08-18,1.4727,aare_suhrespitz_badert,SLR,81,5.0
77,2017-09-15,1.1818,aare_suhrespitz_badert,SLR,65,6.0
78,2017-10-13,1.9091,aare_suhrespitz_badert,SLR,105,7.0
79,2017-11-10,0.9273,aare_suhrespitz_badert,SLR,51,8.0
80,2017-12-23,0.6364,aare_suhrespitz_badert,SLR,35,9.0
81,2018-01-20,0.4364,aare_suhrespitz_badert,SLR,24,10.0
82,2018-02-10,0.5091,aare_suhrespitz_badert,SLR,28,11.0
83,2018-03-24,3.1455,aare_suhrespitz_badert,SLR,173,12.0
84,2017-04-02,0.5,aarezufluss_bern_scheurerk,SLR,9,1.0
85,2017-07-09,0.0556,aarezufluss_bern_scheurerk,SLR,1,2.0
86,2017-09-15,0.5,aarezufluss_bern_scheurerk,SLR,9,3.0
87,2017-11-19,0.8333,aarezufluss_bern_scheurerk,SLR,15,4.0
88,2018-02-13,0.2778,aarezufluss_bern_scheurerk,SLR,5,5.0
89,2017-04-17,2.875,arve_carouge_battistellak,SLR,161,1.0
90,2017-05-25,1.6786,arve_carouge_battistellak,SLR,94,2.0
91,2017-06-27,4.1786,arve_carouge_battistellak,SLR,234,3.0
92,2017-07-31,2.25,arve_carouge_battistellak,SLR,126,4.0
93,2017-08-28,1.6786,arve_carouge_battistellak,SLR,94,5.0
94,2017-09-30,3.0,arve_carouge_battistellak,SLR,168,6.0
95,2017-10-31,0.7143,arve_carouge_battistellak,SLR,40,7.0
96,2018-03-18,6.7679,arve_carouge_battistellak,SLR,379,8.0
97,2017-04-08,1.28,Berlingen swisslitterreport,SLR,256,1.0
98,2017-04-22,3.0,Bielersee_Vinelz_FankhauserS,SLR,105,1.0
99,2017-05-27,3.1429,Bielersee_Vinelz_FankhauserS,SLR,110,2.0
100,2017-06-30,3.7429,Bielersee_Vinelz_FankhauserS,SLR,131,3.0
