location,date,length,quantity,code,project
Antelope,2017-05-17,60.96,29,G3,hdc
Antelope,2017-05-17,60.96,29,G3,hdc
Antelope,2017-05-17,60.96,9,G7,hdc
Antelope,2017-05-17,60.96,9,G7,hdc
Antelope,2017-05-17,60.96,9,G7,hdc
Antelope,2017-05-17,60.96,9,G7,hdc
Antelope,2017-05-17,60.96,3,G21,hdc
Antelope,2017-05-17,60.96,3,G21,hdc
Antelope,2017-05-17,60.96,2,G23,hdc
Antelope,2017-05-17,60.96,2,G23,hdc
Antelope,2017-05-17,60.96,5,G25,hdc
Antelope,2017-05-17,60.96,5,G25,hdc
Antelope,2017-05-17,60.96,1,G27,hdc
Antelope,2017-05-17,60.96,1,G27,hdc
Antelope,2017-05-17,60.96,73,G30,hdc
Antelope,2017-05-17,60.96,73,G30,hdc
Antelope,2017-05-17,60.96,6,G32,hdc
Antelope,2017-05-17,60.96,11,G33,hdc
Antelope,2017-05-17,60.96,1,G34,hdc
Antelope,2017-05-17,60.96,26,G35,hdc
Antelope,2017-05-17,60.96,1,G49,hdc
Antelope,2017-05-17,60.96,1,G49,hdc
Antelope,2017-05-17,60.96,1,G49,hdc
Antelope,2017-05-17,60.96,1,G49,hdc
Antelope,2017-05-17,60.96,1,G49,hdc
Antelope,2017-05-17,60.96,1,G66,hdc
Antelope,2017-05-17,60.96,1,G66,hdc
Antelope,2017-05-17,60.96,1,G66,hdc
Antelope,2017-05-17,60.96,2,G79,hdc
Antelope,2017-05-17,60.96,2,G79,hdc
Antelope,2017-05-17,60.96,23,G82,hdc
Antelope,2017-05-17,60.96,23,G82,hdc
Antelope,2017-05-17,60.96,23,G82,hdc
Antelope,2017-05-17,60.96,3,G89,hdc
Antelope,2017-05-17,60.96,3,G89,hdc
Antelope,2017-05-17,60.96,3,G89,hdc
Antelope,2017-05-17,60.96,3,G89,hdc
Antelope,2017-05-17,60.96,3,G89,hdc
Antelope,2017-05-17,60.96,1,G100,hdc
Antelope,2017-05-17,60.96,1,G100,hdc
Antelope,2017-05-17,60.96,3,G124,hdc
Antelope,2017-05-17,60.96,3,G124,hdc
Antelope,2017-05-17,60.96,3,G126,hdc
Antelope,2017-05-17,60.96,1,G128,hdc
Antelope,2017-05-17,60.96,1,G128,hdc
Antelope,2017-05-17,60.96,1,G128,hdc
Antelope,2017-05-17,60.96,3,G145,hdc
Antelope,2017-05-17,60.96,3,G145,hdc
Antelope,2017-05-17,60.96,3,G145,hdc
Antelope,2017-05-17,60.96,3,G145,hdc
Antelope,2017-05-17,60.96,3,G145,hdc
Antelope,2017-05-17,60.96,20,G156,hdc
Antelope,2017-05-17,60.96,20,G156,hdc
Antelope,2017-05-17,60.96,20,G156,hdc
Antelope,2017-05-17,60.96,20,G156,hdc
Antelope,2017-05-17,60.96,20,G156,hdc
Antelope,2017-05-17,60.96,4,G175,hdc
Antelope,2017-05-17,60.96,2,G176,hdc
Antelope,2017-05-17,60.96,2,G176,hdc
Antelope,2017-05-17,60.96,2,G176,hdc
Antelope,2017-05-17,60.96,1,G179,hdc
Antelope,2017-05-17,60.96,1,G179,hdc
Antelope,2017-05-17,60.96,1,G179,hdc
Antelope,2017-05-17,60.96,1,G179,hdc
Antelope,2017-05-17,60.96,1,G195,hdc
Antelope,2017-05-17,60.96,3,G198,hdc
Antelope,2017-05-17,60.96,4,G199,hdc
Antelope,2017-05-17,60.96,5,G200,hdc
Antelope,2017-05-17,60.96,5,G200,hdc
Antelope,2017-05-17,60.96,2,G204,hdc
Antelope,2017-05-17,60.96,2,G204,hdc
Arcade Creek,2017-04-29,40.0,17,G3,hdc
Arcade Creek,2017-04-29,40.0,6,G4,hdc
Arcade Creek,2017-04-29,40.0,6,G7,hdc
Arcade Creek,2017-04-29,40.0,1,G8,hdc
Arcade Creek,2017-04-29,40.0,1,G10,hdc
Arcade Creek,2017-04-29,40.0,1,G10,hdc
Arcade Creek,2017-04-29,40.0,3,G21,hdc
Arcade Creek,2017-04-29,40.0,3,G21,hdc
Arcade Creek,2017-04-29,40.0,2,G23,hdc
Arcade Creek,2017-04-29,40.0,2,G24,hdc
Arcade Creek,2017-04-29,40.0,9,G25,hdc
Arcade Creek,2017-04-29,40.0,2,G26,hdc
Arcade Creek,2017-04-29,40.0,18,G27,hdc
Arcade Creek,2017-04-29,40.0,18,G27,hdc
Arcade Creek,2017-04-29,40.0,22,G30,hdc
Arcade Creek,2017-04-29,40.0,22,G30,hdc
Arcade Creek,2017-04-29,40.0,4,G32,hdc
Arcade Creek,2017-04-29,40.0,4,G32,hdc
Arcade Creek,2017-04-29,40.0,1,G34,hdc
Arcade Creek,2017-04-29,40.0,6,G35,hdc
Arcade Creek,2017-04-29,40.0,1,G49,hdc
Arcade Creek,2017-04-29,40.0,7,G50,hdc
Arcade Creek,2017-04-29,40.0,7,G50,hdc
Arcade Creek,2017-04-29,40.0,7,G50,hdc
Arcade Creek,2017-04-29,40.0,7,G50,hdc
Arcade Creek,2017-04-29,40.0,7,G50,hdc
Arcade Creek,2017-04-29,40.0,3,G67,hdc
Arcade Creek,2017-04-29,40.0,1,G71,hdc
Arcade Creek,2017-04-29,40.0,18,G79,hdc
Arcade Creek,2017-04-29,40.0,3,G80,hdc
Arcade Creek,2017-04-29,40.0,3,G80,hdc
Arcade Creek,2017-04-29,40.0,3,G80,hdc
Arcade Creek,2017-04-29,40.0,1,G87,hdc
Arcade Creek,2017-04-29,40.0,1,G87,hdc
Arcade Creek,2017-04-29,40.0,1,G87,hdc
Arcade Creek,2017-04-29,40.0,1,G95,hdc
Arcade Creek,2017-04-29,40.0,1,G96,hdc
Arcade Creek,2017-04-29,40.0,1,G96,hdc
Arcade Creek,2017-04-29,40.0,1,G96,hdc
Arcade Creek,2017-04-29,40.0,3,G101,hdc
Arcade Creek,2017-04-29,40.0,5,G124,hdc
Arcade Creek,2017-04-29,40.0,5,G124,hdc
Arcade Creek,2017-04-29,40.0,2,G126,hdc
Arcade Creek,2017-04-29,40.0,1,G128,hdc
Arcade Creek,2017-04-29,40.0,1,G128,hdc
Arcade Creek,2017-04-29,40.0,1,G142,hdc
Arcade Creek,2017-04-29,40.0,1,G145,hdc
Arcade Creek,2017-04-29,40.0,1,G145,hdc
Arcade Creek,2017-04-29,40.0,1,G145,hdc
Arcade Creek,2017-04-29,40.0,1,G145,hdc
Arcade Creek,2017-04-29,40.0,1,G145,hdc
Arcade Creek,2017-04-29,40.0,5,G156,hdc
Arcade Creek,2017-04-29,40.0,5,G156,hdc
Arcade Creek,2017-04-29,40.0,5,G156,hdc
Arcade Creek,2017-04-29,40.0,17,G165,hdc
Arcade Creek,2017-04-29,40.0,17,G165,hdc
Arcade Creek,2017-04-29,40.0,15,G175,hdc
Arcade Creek,2017-04-29,40.0,2,G176,hdc
Arcade Creek,2017-04-29,40.0,2,G177,hdc
Arcade Creek,2017-04-29,40.0,2,G178,hdc
Arcade Creek,2017-04-29,40.0,2,G178,hdc
Arcade Creek,2017-04-29,40.0,2,G178,hdc
Arcade Creek,2017-04-29,40.0,2,G188,hdc
Arcade Creek,2017-04-29,40.0,2,G191,hdc
Arcade Creek,2017-04-29,40.0,3,G195,hdc
Arcade Creek,2017-04-29,40.0,10,G198,hdc
Arcade Creek,2017-04-29,40.0,10,G198,hdc
Arcade Creek,2017-04-29,40.0,174,G200,hdc
Arcade Creek,2017-04-29,40.0,1,G203,hdc
Arcade Creek,2017-04-29,40.0,1,G204,hdc
Arcade Creek,2017-04-29,40.0,1,G204,hdc
Cordova Creek,2015-11-28,26.82,4,G3,hdc
Cordova Creek,2015-11-28,26.82,1,G4,hdc
Cordova Creek,2015-11-28,26.82,3,G7,hdc
Cordova Creek,2015-11-28,26.82,14,G8,hdc
Cordova Creek,2015-11-28,26.82,1,G10,hdc
Cordova Creek,2015-11-28,26.82,1,G10,hdc
Cordova Creek,2015-11-28,26.82,3,G21,hdc
Cordova Creek,2015-11-28,26.82,3,G21,hdc
Cordova Creek,2015-11-28,26.82,3,G23,hdc
Cordova Creek,2015-11-28,26.82,3,G23,hdc
Cordova Creek,2015-11-28,26.82,4,G25,hdc
Cordova Creek,2015-11-28,26.82,2,G26,hdc
Cordova Creek,2015-11-28,26.82,2,G27,hdc
Cordova Creek,2015-11-28,26.82,1,G28,hdc
Cordova Creek,2015-11-28,26.82,21,G30,hdc
Cordova Creek,2015-11-28,26.82,21,G30,hdc
Cordova Creek,2015-11-28,26.82,3,G32,hdc
Cordova Creek,2015-11-28,26.82,4,G33,hdc
Cordova Creek,2015-11-28,26.82,1,G34,hdc
Cordova Creek,2015-11-28,26.82,6,G35,hdc
Cordova Creek,2015-11-28,26.82,1,G49,hdc
Cordova Creek,2015-11-28,26.82,3,G50,hdc
Cordova Creek,2015-11-28,26.82,3,G50,hdc
Cordova Creek,2015-11-28,26.82,21,G59,hdc
Cordova Creek,2015-11-28,26.82,21,G59,hdc
Cordova Creek,2015-11-28,26.82,1,G66,hdc
Cordova Creek,2015-11-28,26.82,1,G67,hdc
Cordova Creek,2015-11-28,26.82,1,G67,hdc
Cordova Creek,2015-11-28,26.82,3,G79,hdc
Cordova Creek,2015-11-28,26.82,3,G79,hdc
Cordova Creek,2015-11-28,26.82,26,G82,hdc
Cordova Creek,2015-11-28,26.82,26,G82,hdc
Cordova Creek,2015-11-28,26.82,26,G82,hdc
Cordova Creek,2015-11-28,26.82,26,G82,hdc
Cordova Creek,2015-11-28,26.82,26,G82,hdc
Cordova Creek,2015-11-28,26.82,26,G82,hdc
Cordova Creek,2015-11-28,26.82,26,G82,hdc
Cordova Creek,2015-11-28,26.82,26,G82,hdc
Cordova Creek,2015-11-28,26.82,26,G82,hdc
Cordova Creek,2015-11-28,26.82,1,G101,hdc
Cordova Creek,2015-11-28,26.82,3,G124,hdc
Cordova Creek,2015-11-28,26.82,3,G124,hdc
Cordova Creek,2015-11-28,26.82,3,G126,hdc
Cordova Creek,2015-11-28,26.82,3,G126,hdc
Cordova Creek,2015-11-28,26.82,3,G126,hdc
Cordova Creek,2015-11-28,26.82,3,G126,hdc
Cordova Creek,2015-11-28,26.82,1,G145,hdc
Cordova Creek,2015-11-28,26.82,1,G145,hdc
Cordova Creek,2015-11-28,26.82,3,G152,hdc
Cordova Creek,2015-11-28,26.82,3,G152,hdc
Cordova Creek,2015-11-28,26.82,3,G152,hdc
Cordova Creek,2015-11-28,26.82,2,G156,hdc
Cordova Creek,2015-11-28,26.82,2,G156,hdc
Cordova Creek,2015-11-28,26.82,2,G156,hdc
Cordova Creek,2015-11-28,26.82,2,G156,hdc
Cordova Creek,2015-11-28,26.82,2,G156,hdc
Cordova Creek,2015-11-28,26.82,1,G175,hdc
Cordova Creek,2015-11-28,26.82,1,G175,hdc
Cordova Creek,2015-11-28,26.82,3,G177,hdc
Cordova Creek,2015-11-28,26.82,3,G178,hdc
Cordova Creek,2015-11-28,26.82,3,G178,hdc
Cordova Creek,2015-11-28,26.82,2,G182,hdc
Cordova Creek,2015-11-28,26.82,2,G182,hdc
Cordova Creek,2015-11-28,26.82,1,G191,hdc
Cordova Creek,2015-11-28,26.82,1,G191,hdc
Cordova Creek,2015-11-28,26.82,2,G198,hdc
Cordova Creek,2015-11-28,26.82,1,G199,hdc
Cordova Creek,2015-11-28,26.82,1,G200,hdc
Cordova Creek,2015-11-28,26.82,1,G200,hdc
Cordova Creek,2015-11-28,26.82,1,G200,hdc
Cordova Creek,2015-11-28,26.82,1,G200,hdc
Cordova Creek,2015-12-02,26.82,4,G3,hdc
Cordova Creek,2015-12-02,26.82,3,G4,hdc
Cordova Creek,2015-12-02,26.82,1,G7,hdc
Cordova Creek,2015-12-02,26.82,1,G8,hdc
Cordova Creek,2015-12-02,26.82,1,G8,hdc
Cordova Creek,2015-12-02,26.82,1,G8,hdc
Cordova Creek,2015-12-02,26.82,1,G21,hdc
Cordova Creek,2015-12-02,26.82,1,G21,hdc
Cordova Creek,2015-12-02,26.82,2,G23,hdc
Cordova Creek,2015-12-02,26.82,2,G23,hdc
Cordova Creek,2015-12-02,26.82,2,G23,hdc
Cordova Creek,2015-12-02,26.82,2,G23,hdc
Cordova Creek,2015-12-02,26.82,2,G27,hdc
Cordova Creek,2015-12-02,26.82,1,G28,hdc
Cordova Creek,2015-12-02,26.82,8,G30,hdc
Cordova Creek,2015-12-02,26.82,1,G31,hdc
Cordova Creek,2015-12-02,26.82,1,G32,hdc
Cordova Creek,2015-12-02,26.82,1,G33,hdc
Cordova Creek,2015-12-02,26.82,1,G33,hdc
Cordova Creek,2015-12-02,26.82,2,G35,hdc
Cordova Creek,2015-12-02,26.82,2,G35,hdc
Cordova Creek,2015-12-02,26.82,2,G35,hdc
Cordova Creek,2015-12-02,26.82,2,G35,hdc
Cordova Creek,2015-12-02,26.82,1,G59,hdc
Cordova Creek,2015-12-02,26.82,1,G59,hdc
Cordova Creek,2015-12-02,26.82,1,G59,hdc
Cordova Creek,2015-12-02,26.82,1,G59,hdc
Cordova Creek,2015-12-02,26.82,1,G71,hdc
Cordova Creek,2015-12-02,26.82,5,G79,hdc
Cordova Creek,2015-12-02,26.82,5,G79,hdc
Cordova Creek,2015-12-02,26.82,5,G82,hdc
Cordova Creek,2015-12-02,26.82,5,G82,hdc
Cordova Creek,2015-12-02,26.82,5,G82,hdc
Cordova Creek,2015-12-02,26.82,5,G82,hdc
Cordova Creek,2015-12-02,26.82,5,G82,hdc
Cordova Creek,2015-12-02,26.82,5,G82,hdc
Cordova Creek,2015-12-02,26.82,5,G82,hdc
Cordova Creek,2015-12-02,26.82,5,G82,hdc
Cordova Creek,2015-12-02,26.82,5,G82,hdc
Cordova Creek,2015-12-02,26.82,2,G101,hdc
Cordova Creek,2015-12-02,26.82,4,G124,hdc
Cordova Creek,2015-12-02,26.82,4,G124,hdc
Cordova Creek,2015-12-02,26.82,1,G126,hdc
Cordova Creek,2015-12-02,26.82,1,G126,hdc
Cordova Creek,2015-12-02,26.82,1,G126,hdc
Cordova Creek,2015-12-02,26.82,2,G142,hdc
Cordova Creek,2015-12-02,26.82,3,G145,hdc
Cordova Creek,2015-12-02,26.82,3,G145,hdc
Cordova Creek,2015-12-02,26.82,3,G145,hdc
Cordova Creek,2015-12-02,26.82,1,G153,hdc
Cordova Creek,2015-12-02,26.82,1,G153,hdc
Cordova Creek,2015-12-02,26.82,6,G156,hdc
Cordova Creek,2015-12-02,26.82,6,G156,hdc
Cordova Creek,2015-12-02,26.82,6,G156,hdc
Cordova Creek,2015-12-02,26.82,6,G156,hdc
Cordova Creek,2015-12-02,26.82,1,G172,hdc
Cordova Creek,2015-12-02,26.82,1,G172,hdc
Cordova Creek,2015-12-02,26.82,1,G172,hdc
Cordova Creek,2015-12-02,26.82,3,G177,hdc
Cordova Creek,2015-12-02,26.82,2,G178,hdc
Cordova Creek,2015-12-02,26.82,2,G178,hdc
Cordova Creek,2015-12-02,26.82,4,G182,hdc
Cordova Creek,2015-12-02,26.82,4,G182,hdc
Cordova Creek,2015-12-02,26.82,1,G191,hdc
Cordova Creek,2015-12-02,26.82,1,G191,hdc
Cordova Creek,2015-12-02,26.82,1,G198,hdc
Cordova Creek,2015-12-02,26.82,1,G199,hdc
Cordova Creek,2015-12-02,26.82,2,G200,hdc
Cordova Creek,2015-12-02,26.82,1,G203,hdc
Cordova Creek,2015-12-02,26.82,1,G203,hdc
Cordova Creek,2015-12-02,26.82,1,G203,hdc
Cordova Creek,2015-12-08,26.82,6,G3,hdc
Cordova Creek,2015-12-08,26.82,3,G4,hdc
Cordova Creek,2015-12-08,26.82,6,G7,hdc
Cordova Creek,2015-12-08,26.82,1,G8,hdc
Cordova Creek,2015-12-08,26.82,1,G10,hdc
Cordova Creek,2015-12-08,26.82,1,G10,hdc
Cordova Creek,2015-12-08,26.82,2,G21,hdc
Cordova Creek,2015-12-08,26.82,2,G21,hdc
Cordova Creek,2015-12-08,26.82,4,G23,hdc
Cordova Creek,2015-12-08,26.82,4,G23,hdc
Cordova Creek,2015-12-08,26.82,4,G23,hdc
Cordova Creek,2015-12-08,26.82,1,G26,hdc
Cordova Creek,2015-12-08,26.82,2,G27,hdc
Cordova Creek,2015-12-08,26.82,1,G28,hdc
Cordova Creek,2015-12-08,26.82,22,G30,hdc
Cordova Creek,2015-12-08,26.82,22,G30,hdc
Cordova Creek,2015-12-08,26.82,1,G32,hdc
Cordova Creek,2015-12-08,26.82,2,G33,hdc
Cordova Creek,2015-12-08,26.82,1,G34,hdc
Cordova Creek,2015-12-08,26.82,1,G35,hdc
Cordova Creek,2015-12-08,26.82,1,G35,hdc
Cordova Creek,2015-12-08,26.82,1,G50,hdc
Cordova Creek,2015-12-08,26.82,1,G50,hdc
Cordova Creek,2015-12-08,26.82,1,G59,hdc
Cordova Creek,2015-12-08,26.82,1,G59,hdc
Cordova Creek,2015-12-08,26.82,1,G59,hdc
Cordova Creek,2015-12-08,26.82,1,G59,hdc
Cordova Creek,2015-12-08,26.82,4,G71,hdc
Cordova Creek,2015-12-08,26.82,10,G79,hdc
Cordova Creek,2015-12-08,26.82,10,G79,hdc
Cordova Creek,2015-12-08,26.82,9,G82,hdc
Cordova Creek,2015-12-08,26.82,1,G83,hdc
Cordova Creek,2015-12-08,26.82,1,G83,hdc
Cordova Creek,2015-12-08,26.82,1,G83,hdc
Cordova Creek,2015-12-08,26.82,1,G83,hdc
Cordova Creek,2015-12-08,26.82,1,G83,hdc
Cordova Creek,2015-12-08,26.82,1,G96,hdc
Cordova Creek,2015-12-08,26.82,1,G96,hdc
Cordova Creek,2015-12-08,26.82,1,G96,hdc
Cordova Creek,2015-12-08,26.82,7,G101,hdc
Cordova Creek,2015-12-08,26.82,2,G124,hdc
Cordova Creek,2015-12-08,26.82,1,G125,hdc
Cordova Creek,2015-12-08,26.82,1,G125,hdc
Cordova Creek,2015-12-08,26.82,1,G125,hdc
Cordova Creek,2015-12-08,26.82,1,G125,hdc
Cordova Creek,2015-12-08,26.82,1,G142,hdc
Cordova Creek,2015-12-08,26.82,4,G145,hdc
Cordova Creek,2015-12-08,26.82,4,G145,hdc
Cordova Creek,2015-12-08,26.82,1,G152,hdc
Cordova Creek,2015-12-08,26.82,1,G153,hdc
Cordova Creek,2015-12-08,26.82,1,G153,hdc
Cordova Creek,2015-12-08,26.82,4,G156,hdc
Cordova Creek,2015-12-08,26.82,1,G158,hdc
Cordova Creek,2015-12-08,26.82,1,G158,hdc
Cordova Creek,2015-12-08,26.82,1,G158,hdc
Cordova Creek,2015-12-08,26.82,4,G172,hdc
Cordova Creek,2015-12-08,26.82,3,G175,hdc
Cordova Creek,2015-12-08,26.82,3,G175,hdc
Cordova Creek,2015-12-08,26.82,3,G177,hdc
Cordova Creek,2015-12-08,26.82,1,G178,hdc
Cordova Creek,2015-12-08,26.82,1,G178,hdc
Cordova Creek,2015-12-08,26.82,2,G182,hdc
Cordova Creek,2015-12-08,26.82,1,G188,hdc
Cordova Creek,2015-12-08,26.82,1,G188,hdc
Cordova Creek,2015-12-08,26.82,1,G188,hdc
Cordova Creek,2015-12-08,26.82,1,G188,hdc
Cordova Creek,2015-12-08,26.82,1,G188,hdc
