Location,Date,length,G1,G10,G100,G101,G102,G11,G12,G124,G125,G126,G128,G13,G130,G131,G139,G14,G140,G142,G145,G150,G151,G152,G153,G154,G156,G158,G159,G16,G161,G162,G165,G172,G174,G175,G176,G177,G178,G179,G18,G180,G182,G186,G188,G19,G191,G195,G198,G199,G200,G202,G203,G204,G21,G211,G22,G23,G24,G25,G26,G27,G28,G29,G3,G30,G31,G32,G33,G34,G35,G4,G40,G41,G49,G5,G50,G52,G54,G56,G57,G58,G59,G60,G62,G65,G66,G67,G68,G69,G7,G71,G73,G79,G8,G80,G82,G83,G84,G85,G87,G88,G89,G9,G90,G92,G95,G96,G97,G98,G99,Total
Antelope,2017-05-17,60.96,1,0,1,0,0,0,1,3,0,3,1,0,0,0,3,0,3,0,3,0,0,0,0,0,20,0,0,0,7,0,0,0,1,4,2,0,0,1,0,0,0,0,0,1,0,1,3,4,5,0,0,2,3,0,0,2,0,5,0,1,0,0,29,73,0,6,11,1,26,0,3,0,1,24,0,0,0,0,0,0,0,0,0,0,1,0,2,0,9,0,0,2,0,0,23,0,2,0,0,2,3,1,0,0,0,0,0,0,0,300
Arcade Creek,2017-04-29,40,0,1,0,3,0,0,0,5,0,2,1,0,0,0,1,0,25,1,1,0,0,0,0,0,5,0,0,0,0,0,17,0,0,15,2,2,2,0,0,0,0,0,2,0,2,3,10,0,174,0,1,1,3,0,0,2,2,9,2,18,0,0,17,22,0,4,0,1,6,6,3,3,1,3,7,0,0,0,0,0,0,0,0,0,0,3,0,0,6,1,1,18,1,3,0,0,0,0,1,4,0,2,0,0,1,1,1,0,0,428
Cordova Creek,2015-11-28,26.82,0,1,0,1,0,0,1,3,0,3,0,0,0,0,0,1,0,0,1,0,0,3,0,0,2,0,0,0,0,0,0,0,1,1,0,3,3,0,0,0,2,1,0,0,1,0,2,1,1,0,0,0,3,0,0,3,0,4,2,2,1,0,4,21,0,3,4,1,6,1,0,0,1,2,3,0,0,0,0,0,21,0,0,0,1,1,0,0,3,0,0,3,14,0,26,0,0,0,0,0,0,0,0,1,0,0,0,1,0,164
Cordova Creek,2015-12-02,26.82,0,0,0,2,1,0,0,4,0,1,0,0,0,0,0,0,0,2,3,0,0,0,1,0,6,0,0,0,0,0,0,1,0,0,0,3,2,0,0,0,4,0,0,0,1,0,1,1,2,0,1,0,1,0,0,2,0,0,0,2,1,0,4,8,1,1,1,0,2,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,5,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,78
Cordova Creek,2015-12-08,26.82,0,1,0,7,2,0,1,2,1,0,0,0,0,0,2,0,0,1,4,0,0,1,1,0,4,1,0,0,4,0,0,4,0,3,0,3,1,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,2,1,0,4,0,0,1,2,1,0,6,22,0,1,2,1,1,3,0,0,0,6,1,0,0,1,0,0,1,0,0,0,0,0,0,0,6,4,0,10,1,0,9,1,0,0,0,0,0,0,0,0,0,1,0,1,0,136
Cordova Creek,2015-12-13,26.82,0,0,0,2,1,0,1,6,0,1,2,0,0,0,0,0,0,0,5,0,0,1,0,0,4,1,0,1,3,0,0,1,2,1,0,4,1,0,0,0,3,0,0,0,0,0,1,0,1,1,0,1,3,0,0,0,0,3,0,7,0,0,18,29,1,1,1,0,4,3,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,6,1,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151
Cordova Creek,2016-01-06,26.82,0,6,1,1,1,0,0,4,1,3,0,0,0,0,1,0,0,1,1,0,0,1,5,0,12,2,0,0,1,0,0,10,0,0,0,7,5,0,0,0,1,1,0,1,0,0,2,0,1,0,0,0,3,0,0,0,0,2,0,14,1,0,21,46,0,8,7,1,4,4,0,0,0,21,1,0,0,1,0,0,3,0,0,0,3,1,0,0,9,2,0,24,1,0,75,13,0,0,5,0,2,0,0,0,0,0,0,1,0,342
Cordova Creek,2016-01-13,26.82,0,3,0,4,0,0,0,15,2,6,0,0,0,0,1,0,0,2,4,1,1,5,23,0,8,2,1,0,2,0,0,1,0,3,0,3,12,0,0,0,1,0,0,0,0,0,3,3,3,0,4,1,12,0,1,8,0,0,0,5,0,0,24,41,1,6,10,2,13,3,1,1,0,3,2,0,0,0,0,0,2,0,0,0,1,1,0,0,6,1,0,14,3,6,14,1,0,0,0,0,0,0,0,0,0,0,0,1,0,297
Cordova Creek,2016-01-20,26.82,0,2,0,5,0,0,0,4,0,3,0,0,0,0,0,0,0,1,1,0,0,5,20,0,16,4,0,0,4,0,0,0,0,5,0,4,16,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,4,0,0,4,0,9,0,29,2,0,28,86,5,4,6,1,22,4,0,0,0,28,2,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,22,1,5,109,25,0,2,0,0,1,0,0,0,1,0,0,0,1,500
Cordova Creek,2016-01-27,26.82,0,2,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,2,1,0,0,0,3,0,3,1,1,0,6,0,0,6,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,2,1,5,0,4,0,0,8,16,0,1,3,0,2,1,0,0,0,4,2,0,0,1,0,0,4,0,0,0,0,0,0,0,4,0,1,10,0,1,36,0,0,0,0,0,0,0,0,0,0,0,0,2,0,151
