date,location,sample,density2,quantity
2017-04-14,Aare_bern_gerberm,1,0.642,154
2017-05-21,Aare_bern_gerberm,2,0.111,20
2017-06-26,Aare_bern_gerberm,3,0.789,71
2017-07-31,Aare_bern_gerberm,4,0.339,112
2017-08-29,Aare_bern_gerberm,5,0.486,175
2017-09-26,Aare_bern_gerberm,6,0.46,207
2017-10-31,Aare_bern_gerberm,7,0.27,108
2017-11-17,Aare_bern_gerberm,8,0.147,66
2017-12-26,Aare_bern_gerberm,9,0.213,96
2018-01-27,Aare_bern_gerberm,10,0.693,187
2018-03-31,Aare_bern_gerberm,11,0.282,127
2017-04-02,aare_bern_scheurerk,1,0.1,2
2017-05-21,aare_bern_scheurerk,2,0.0,0
2017-07-09,aare_bern_scheurerk,3,1.6,80
2017-09-15,aare_bern_scheurerk,4,0.012,26
2017-10-21,aare_bern_scheurerk,5,0.006,13
2017-11-16,aare_bern_scheurerk,6,0.017,35
2018-01-23,aare_bern_scheurerk,7,0.0,0
2018-03-15,aare_bern_scheurerk,8,0.008,35
2017-04-12,Aare_Brugg_BuchiE,1,0.245,49
2017-05-08,Aare_Brugg_BuchiE,2,0.44,44
2017-06-13,Aare_Brugg_BuchiE,3,0.171,24
2017-07-20,Aare_Brugg_BuchiE,4,0.25,50
2017-08-26,Aare_Brugg_BuchiE,5,0.575,69
2017-09-25,Aare_Brugg_BuchiE,6,0.122,22
2017-10-31,Aare_Brugg_BuchiE,7,0.02,4
2017-11-27,Aare_Brugg_BuchiE,8,0.015,3
2017-12-28,Aare_Brugg_BuchiE,9,0.05,8
2018-02-04,Aare_Brugg_BuchiE,10,0.05,5
2018-03-31,Aare_Brugg_BuchiE,11,0.085,17
2017-04-29,Aare_Elfenau_cataldiv,1,0.077,4
2017-05-20,Aare_Elfenau_cataldiv,2,0.234,3
2017-06-29,Aare_Elfenau_cataldiv,3,2.607,73
2017-07-23,Aare_Elfenau_cataldiv,4,0.088,7
2017-09-09,Aare_Elfenau_cataldiv,5,1.03,103
2018-01-06,Aare_Elfenau_cataldiv,6,0.062,2
