location,date,sample,density,quantity
Aare_bern_gerberm,2017-04-14,1,1.73,154
Aare_bern_gerberm,2017-05-21,2,0.225,20
Aare_bern_gerberm,2017-06-26,3,0.798,71
Aare_bern_gerberm,2017-07-31,4,1.258,112
Aare_bern_gerberm,2017-08-29,5,1.966,175
Aare_bern_gerberm,2017-09-26,6,2.326,207
Aare_bern_gerberm,2017-10-31,7,1.213,108
Aare_bern_gerberm,2017-11-17,8,0.742,66
Aare_bern_gerberm,2017-12-26,9,1.079,96
Aare_bern_gerberm,2018-01-27,10,2.101,187
Aare_bern_gerberm,2018-03-31,11,1.427,127
aare_bern_scheurerk,2017-04-02,1,0.022,2
aare_bern_scheurerk,2017-05-21,2,0.0,0
aare_bern_scheurerk,2017-07-09,3,0.87,80
aare_bern_scheurerk,2017-09-15,4,0.283,26
aare_bern_scheurerk,2017-10-21,5,0.141,13
aare_bern_scheurerk,2017-11-16,6,0.38,35
aare_bern_scheurerk,2018-01-23,7,0.0,0
aare_bern_scheurerk,2018-03-15,8,0.38,35
Aare_Brugg_BuchiE,2017-04-12,1,2.45,49
Aare_Brugg_BuchiE,2017-05-08,2,2.2,44
Aare_Brugg_BuchiE,2017-06-13,3,1.2,24
Aare_Brugg_BuchiE,2017-07-20,4,2.5,50
Aare_Brugg_BuchiE,2017-08-26,5,3.45,69
Aare_Brugg_BuchiE,2017-09-25,6,1.1,22
Aare_Brugg_BuchiE,2017-10-31,7,0.2,4
Aare_Brugg_BuchiE,2017-11-27,8,0.15,3
Aare_Brugg_BuchiE,2017-12-28,9,0.4,8
Aare_Brugg_BuchiE,2018-02-04,10,0.25,5
Aare_Brugg_BuchiE,2018-03-31,11,0.85,17
Aare_Elfenau_cataldiv,2017-04-29,1,0.211,4
Aare_Elfenau_cataldiv,2017-05-20,2,0.158,3
Aare_Elfenau_cataldiv,2017-06-29,3,3.842,73
Aare_Elfenau_cataldiv,2017-07-23,4,0.368,7
Aare_Elfenau_cataldiv,2017-09-09,5,5.421,103
Aare_Elfenau_cataldiv,2018-01-06,6,0.105,2
aare_kehrsatz_stolten,2017-04-07,1,0.174,8
aare_kehrsatz_stolten,2017-05-03,2,0.196,9
aare_kehrsatz_stolten,2017-06-14,3,0.196,9
aare_kehrsatz_stolten,2017-07-03,4,0.109,5
aare_kehrsatz_stolten,2017-08-25,5,0.109,5
aare_kehrsatz_stolten,2017-09-21,6,0.196,9
aare_kehrsatz_stolten,2017-10-16,7,0.043,2
aare_kehrsatz_stolten,2017-11-08,8,0.152,7
aare_kehrsatz_stolten,2017-12-13,9,0.0,0
aare_kehrsatz_stolten,2018-01-17,10,0.065,3
